985路	[38, 81, 100, 52, 38, 36, 36, 40, 50, 56, 52, 88, 65, 31, 34, 34, 20, 0, 6]
314路	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 66, 27, 19, 100, 13]
1039路	[28, 100, 67, 11, 0, 9, 9, 5, 7, 6, 25, 40, 46, 40, 14, 0, 0, 0, 0]
龙新芦专线	[42, 100, 57, 26, 22, 17, 22, 22, 22, 33, 64, 71, 31, 26, 2, 0, 0, 0, 13]
鹤莘线	[63, 100, 63, 43, 39, 39, 32, 32, 43, 58, 60, 78, 67, 23, 2, 0, 0, 0, 2]
宣桥1路	[59, 100, 63, 18, 18, 0, 31, 22, 0, 22, 45, 54, 4, 0, 0, 0, 0, 0, 4]
780路	[71, 97, 100, 61, 38, 38, 43, 46, 43, 53, 66, 71, 56, 28, 25, 20, 15, 2, 23]
85路	[50, 100, 92, 39, 22, 17, 22, 22, 20, 35, 45, 70, 73, 35, 26, 23, 20, 4, 13]
1036路	[94, 100, 29, 29, 5, 17, 17, 11, 35, 23, 100, 29, 0, 0, 0, 0, 0, 0, 5]
1093路	[0, 85, 85, 0, 14, 42, 0, 42, 0, 42, 57, 100, 0, 0, 0, 0, 0, 0, 0]
786路	[38, 100, 94, 45, 29, 23, 29, 29, 36, 47, 54, 70, 52, 32, 23, 18, 12, 0, 5]
995路	[36, 88, 100, 41, 20, 19, 20, 19, 19, 28, 50, 73, 65, 36, 19, 14, 6, 1, 3]
636路	[34, 100, 82, 34, 16, 19, 24, 17, 19, 21, 34, 58, 76, 56, 42, 26, 10, 0, 1]
外高桥1路	[6, 75, 100, 48, 72, 41, 48, 44, 93, 41, 44, 34, 3, 0, 0, 0, 0, 0, 0]
浦东1路	[3, 71, 100, 24, 18, 12, 12, 12, 15, 13, 28, 63, 53, 13, 10, 0, 0, 0, 0]
863路	[41, 88, 94, 73, 41, 50, 41, 55, 44, 64, 85, 100, 76, 50, 50, 26, 14, 0, 5]
南川线	[50, 100, 87, 50, 27, 22, 20, 27, 30, 32, 50, 72, 57, 37, 20, 7, 0, 0, 7]
申崇六线	[100, 83, 83, 100, 66, 66, 50, 83, 66, 83, 83, 66, 50, 16, 16, 0, 0, 0, 33]
785路	[52, 100, 94, 58, 39, 35, 35, 37, 43, 58, 73, 79, 69, 39, 30, 24, 15, 1, 9]
1072路	[96, 100, 34, 11, 15, 15, 7, 7, 11, 53, 46, 42, 26, 30, 19, 0, 3, 0, 0]
川沙2路	[83, 100, 94, 16, 27, 55, 27, 11, 22, 55, 83, 61, 33, 0, 0, 0, 0, 0, 0]
